Date,Average_temperature____F_,Average_humidity____,Average_dewpoint____F_,Average_barometer__in_,Average_windspeed__mph_,Average_gustspeed__mph_,Average_direction____deg_,Rainfall_for_month__in_,Rainfall_for_year__in_,Maximum_rain_per_minute,Maximum_temperature____F_,Minimum_temperature____F_,Maximum_humidity____,Minimum_humidity____,Maximum_pressure,Minimum_pressure,Maximum_windspeed__mph_,Maximum_gust_speed__mph,Maximum_heat_index____F_
1/9/2022,30.3,46,11.4,30,6.9,10.6,292,0,0,0,41,19,8,27,30.446,29.575,24.2,36,41
2/5/2022,45.6,15,0.6,30,11.1,15.8,270,0,0.21,0,53,34,2,10,30.105,29.802,28.8,36,53
9/1/2022,63.9,40,29.9,30,5.5,81,355,0,8.77,0,79.8,38.9,89,11,30.194,29.684,16.1,255,79.1
9/2/2022,64,29,29.3,30,6.2,125.2,2,0,8.77,0,78.6,45.2,49,12,30.233,29.859,20.7,255,78.3
10/1/2022,35,37,10.8,30,15.1,17.8,337,0,9.33,0,40.9,29.4,52,27,30.085,29.589,34.5,44,40.9
10/2/2022,41.6,26,7.4,30,10,12.4,339,0,9.33,0,56.7,28.4,45,10,30.039,29.84,29.9,44,56.7
11/1/2022,47.3,39,22.9,30,12.3,28.3,311,0,10.11,0,54.4,37.2,59,27,30.13,29.879,29.9,255,54.4
11/11/2022,50.1,27,17,30,8.3,11.5,299,0,10.11,0,61,38.9,43,17,30.27,29.661,24.2,32,61
1/5/2023,34.3,51,17.8,30,14.2,18.5,300,0,0,0,40.1,28.4,60,43,30.173,29.897,34.5,43,40.1
1/25/2023,25.6,35,1.1,30,13.3,15.9,320,0,0,0,33.8,-1.9,57,23,30.143,29.86,25.3,33,33.8
1/26/2023,28.1,50,10.9,30,7,9.7,308,0,0,0,41.9,10.1,70,27,30.278,29.81,24.2,33,41.9
2/1/2023,27.1,43,7.2,30,13.3,18.9,307,0,0.07,0,33.4,23.8,54,32,30.093,29.806,33.4,46,33.4
2/2/2023,29.9,32,1.4,30,6.1,8.6,313,0,0.07,0,43.6,11.1,59,12,30.255,29.874,21.9,30,43.6
2/3/2023,30.6,37,6.1,30,2.2,3.9,28,0,0.07,0,43.1,18.6,64,19,30.12,29.753,13.8,16,43.1
9/2/2023,53.9,48,34.1,30,4.6,6.9,111,0,11.2,0,63.1,43.5,62,35,30.276,29.737,19.6,21.9,63.1
9/7/2023,53.5,27,15.5,30,2.7,4.4,103,0,11.2,0,75.7,27.1,58,8,30.184,29.7,16.1,20.7,75.2
10/3/2023,52.7,41,25,30,1.8,3.4,20,0,11.48,0,76.1,34.1,80,12,30.167,29.865,18.4,26.5,76.2
10/5/2023,53.9,46,31.1,30,2,3.6,92,0,11.48,0,71.7,34.9,79,21,30.189,29.903,13.8,18.4,76.7
10/7/2023,55.6,52,35,30,3.5,5.9,318,0,11.48,0,72.5,37.2,90,19,30.257,29.782,28.8,41.4,77.7
12/2/2023,42.2,39,18.2,30,12.6,19,310,0,12.69,0,48.8,36.4,58,28,30.126,29.826,31.1,43.7,48.8
1/3/2024,24.5,49,6.8,30,9.5,16.5,314,0,0,0,33.8,10.2,82,25,30.204,29.912,105.8,255.3,33.8
1/4/2024,26.9,37,3.6,30,16.6,23.6,313,0,0,0,32.5,22.7,47,23,30.169,29.912,35.7,43.7,32.5
6/4/2024,54.6,58,38.6,30,2.2,4.2,123,0,5.51,0,70.8,35.5,87,33,30.122,29.905,12.7,20.7,79.1
9/29/2024,53.4,43,28.4,30,5.4,7.3,326,0,9.39,0,67.1,35.6,78,21,30.342,29.869,10.4,12.7,73.9
10/1/2024,55.6,44,30.5,30,2.7,4.4,270,0,10.46,0,75.8,35.6,76,16,30.176,29.821,21.9,26.5,77
1/5/2025,43.5,29,11.6,30,7.2,10,243,0,0,0,56.6,28.1,55,16,30.278,29.834,20.7,31.1,56.6
3/10/2025,37.7,41,10.4,30,1.7,3.3,82,0,0.38,0,59.6,16.1,71,8,30.26,29.723,10.4,16.1,59.6
3/21/2025,39.4,33,10.9,30,4.2,6.4,41,0,0.38,0,59.3,18.6,58,17,30.069,29.883,18.4,25.3,59.3
10/1/2025,50.7,59,35.8,30,2.1,3.8,82,0,9.19,0,63.1,36.8,83,34,30.166,29.947,11.5,13.8,63.1
11/1/2025,43.6,41,15.7,30,5,7.4,244,0,9.75,0,61,25.4,82,13,30.137,29.78,20.7,28.8,61
11/2/2025,39.3,43,17.2,30,2.7,4.4,251,0,9.75,0,58,26.9,71,20,30.205,29.816,17.3,26.5,58
11/4/2025,47.3,30,16.6,30,8.3,12.5,244,0,9.75,0,54.5,44.1,46,18,30.158,29.933,19.6,31.1,54.5
11/6/2025,50.2,31,20,30,6.8,10.3,252,0,9.75,0,61.9,38.5,45,18,30.133,29.943,18.4,27.6,61.9
11/17/2025,41.8,47,21.9,30,8.2,11.9,238,0,9.75,0,51,24.4,73,29,30.06,29.867,25.3,35.7,51
11/20/2025,48.3,25,13.2,30,9.2,12.9,240,0,9.75,0,57.2,40.2,38,17,30.121,29.893,19.6,28.8,57.2
11/22/2025,42.6,28,11,30,8.7,12.5,228,0,9.75,0,52.1,23.5,47,16,30.392,29.69,23,36.8,52.1
11/28/2025,44.8,17,2.2,30,10.4,15.6,246,0,9.75,0,52.1,41.6,27,10,30.117,29.847,24.2,32.2,52.1
12/11/2025,21.7,50,4.3,30,10.6,15.4,246,0,9.75,0,32.1,7,79,27,30.197,29.812,26.5,38,32.1
1/8/2026,33.3,38,10.2,30,14.2,19.5,237,0,0,0,36.5,30,46,16,30.215,29.67,27.6,39.1,36.5
1/22/2026,43.1,9,-11.9,30,16.8,24,245,0,0,0,50.9,36.6,14,6,30.1,29.931,35.7,46,50.9
1/23/2026,47.2,9,-8.9,30,10.5,15.3,253,0,0,0,56.7,42.1,15,6,30.074,29.906,26.5,35.7,56.7
1/25/2026,42.6,44,21.8,30,10.8,15.5,250,0,0,0,49.9,38.5,52,32,30.073,29.882,23,34.5,49.9
2/3/2026,38.5,16,-5.5,30,8.8,12.7,255,0,0.01,0,49.4,24.2,41,7,30.226,29.799,23,31.1,49.4
2/8/2026,24.1,32,-4.4,30,2,3.4,64,0,0.01,0,45.9,6.1,57,12,30.271,29.713,10.4,16.1,45.9
6/1/2026,50.2,44,28.7,30,4.8,7.1,253,0,2.85,0,58.9,43.3,64,23,30.075,29.821,17.3,26.5,58.9
9/16/2026,54.1,78,46.3,30,2.7,4.3,256,0,6.33,0,69.5,45.1,95,36,30.096,29.773,16.1,21.9,79.1
11/9/2026,42.7,39,17.8,30,4.6,6.7,251,0,15.98,0,56.5,28.8,73,22,30.209,29.857,17.3,24.2,56.5
1/4/2027,12,80,7.1,30,2.5,4.2,81,0,0,0,31.9,-5.4,87,64,30.427,29.556,13.8,21.9,31.9
8/1/2027,60.6,55,43.4,30,2,3.8,134,0,8.04,0,67.9,46.4,82,40,30.067,29.963,10.4,16.1,67.9
8/2/2027,65.7,43,40.1,30,3,6.1,69,0,8.04,0,74.2,39.2,91,20,30.137,29.909,11.5,16.1,76.9
12/4/2028,39.6,29,7.3,30,6.1,9,257,0,14.61,0,54.1,13.5,78,14,30.242,29.858,20.7,27.6,54.1
3/1/2029,36.4,30,7.6,30,7.9,12.5,23,0,0.21,0,47,24.5,51,22,30.125,29.817,24.2,34.5,47
4/4/2029,48.6,38,21.9,30,4.9,7.3,101,0,0.89,0,61.6,32.2,72,19,30.153,29.757,19.6,25.3,61.6
12/1/2029,24.2,39,2.1,30,3.1,5,96,0,7.95,0,35.2,14.4,59,26,30.155,29.947,11.5,17.3,35.2
3/8/2030,41.8,32,13.4,30,14.9,21.1,263,0,0.98,0,51.4,31,53,22,30.168,29.852,31.1,46,51.4
3/17/2030,50.3,32,20.1,30,4.5,6.8,275,0,0.98,0,63.1,32.2,68,19,30.152,29.76,18.4,28.8,63.1
3/18/2030,51.3,34,19.3,30,5.8,8.2,276,0,0.98,0,67.6,27.9,79,13,30.158,29.836,21.9,32.2,67.6
3/21/2030,43.9,56,27.5,30,3,4.6,276,0,0.98,0,62.7,28.5,80,21,30.13,29.815,17.3,21.9,62.7
1/5/2031,43.1,26,10.2,30,0,0,73,0,0,0,51.3,20.5,41,18,30.19,29.922,0,0,51.3
7/6/2031,65.1,45,39.4,30,2,3.8,282,0,3.94,0,83,42.8,86,19,30.214,29.803,11.5,17.3,80.7
2/12/2032,28.7,25,-3.7,30,11.7,18.1,283,0,0.13,0,39.2,19.5,42,15,30.141,29.821,26.5,42.6,39.2
4/1/2032,35.4,44,13,30,5.2,8.2,283,0,1.08,0,49.9,18.1,82,17,30.08,29.779,18.4,25.3,49.9
10/3/2032,42.9,69,32.3,30,2,3.9,59,0,7.94,0,59,28.8,89,39,30.038,29.919,10.4,17.3,59
10/6/2032,42.3,35,14.6,30,3.5,6,262,0,7.94,0,58.1,25,63,10,30.18,29.854,17.3,26.5,58.1
10/7/2032,49.2,16,-3.9,30,5.7,8.6,231,0,7.94,0,69.1,23.9,65,3,30.175,29.794,18.4,28.8,68.1
1/3/2033,29.6,46,11.3,30,10.7,15.9,223,0,0,0,38.8,20.9,58,34,30.153,29.89,27.6,38,38.8
1/4/2033,38.6,41,16.7,30,12.8,18.2,236,0,0,0,48.7,31.9,57,29,30.156,29.855,27.6,41.4,48.7
1/5/2033,30.3,49,12.6,30,8,12.4,259,0,0,0,42.7,23.7,86,16,30.137,29.941,23,34.5,42.7
1/10/2033,15.6,65,4.6,30,5.1,7.6,284,0,0,0,26.6,6.5,86,33,30.148,29.799,16.1,23,26.6
7/7/2025,57.2,88,53.7,30,1.5,2.6,17,3,5.58,0,64.7,53.8,94,69,30.06,29.904,10.4,13.8,72.2
7/31/2027,56.2,71,46,30,1.2,2.5,183,4,8.04,0,68.3,45.2,92,44,30.107,29.935,10.4,12.7,77.5
4/7/2022,45.3,18,3.9,30,12.5,17.1,250,0.25,0.89,0,55.3,36.3,31,12,30.13,29.893,26.5,36,55.3
3/15/2033,40.6,49,20.3,30,6.7,9.7,234,0.25,0.74,0,54.6,24.8,93,23,30.08,29.855,19.6,27.6,54.6
4/16/2026,21.7,86,18.1,30,2.5,3.9,70,0.75,1.21,0,26.6,15.7,88,83,30.175,29.951,9.2,11.5,26.6
10/14/2027,49.3,38,21.4,30,2.1,3.8,120,0.75,10.71,0,70.9,32.4,70,11,30.159,29.842,11.5,17.3,74
10/18/2027,44.1,57,26.4,30,1.2,2.4,97,0.75,10.71,0,66.6,26.1,91,19,30.243,29.887,9.2,12.7,66.6
10/19/2027,46.1,54,27.5,30,1.2,2.4,157,0.75,10.71,0,66.7,29.3,82,23,30.173,29.896,8.1,12.7,66.7
10/20/2027,46.9,56,29.1,30,1.8,3,188,0.75,10.71,0,71.5,28.2,89,20,30.22,29.812,15,19.6,75.2
10/29/2023,53.4,22,14.7,30,15.8,22.1,321,1,12.48,0,61,47.4,30,10,30.106,29.824,32.2,42.6,61
5/21/2025,56.1,43,27.8,30,2.6,4.5,262,1,1.92,0,76.6,32.1,86,13,30.151,29.75,16.1,31.1,76.4
8/29/2029,56.6,56,38.8,30,2,2.7,107,1,7.28,0,74,43.6,87,22,30.258,29.736,19.6,20.7,76.2
8/30/2029,58,62,43.2,30,1.3,1.6,97,1,7.28,0,72.1,42.5,92,35,30.272,29.842,11.5,13.8,77.4
8/31/2029,58.4,67,46,30,1.1,1.4,94,1,7.28,0,72.8,40.3,93,41,30.24,29.774,11.5,12.7,77.5
10/31/2031,30.8,75,22.8,30,2.1,3.3,262,1.25,7.26,0,40.2,22.9,92,22,30.221,29.834,16.1,26.5,40.2
5/31/2024,52.3,28,18.2,30,9.5,14,277,2.63,5.51,0,68.8,40.6,54,10,30.083,29.9,28.8,41.4,73.7
1/24/2022,35.4,68,25,30,8.2,10.8,281,0.09,0.09,0,47,13,9,40,30.436,29.689,26.5,35,47
2/22/2026,21.4,48,4,30,8.1,11.8,252,0.09,0.1,0,30.3,6.3,86,27,30.099,29.9,24.2,32.2,30.3
1/25/2027,42.9,26,9.8,30,11.9,17.9,256,0.09,0.09,0,51.1,36.8,34,19,30.114,29.808,23,33.4,51.1
9/11/2030,58.7,64,44.7,30,1.2,2.3,273,0.09,10,0,77.6,46.2,89,26,30.116,29.895,9.2,13.8,77.7
10/6/2022,41.3,30,11.1,30,12.8,19,306,0.18,9.51,0,52.2,31.2,47,17,30.068,29.846,25.3,39,52.2
12/26/2024,37.4,27,5.6,30,12.1,17.8,194,0.18,11.83,0,41.9,19.1,69,18,30.175,29.807,33.4,42.6,41.9
12/27/2024,35.8,26,3.4,30,12.1,17.3,234,0.18,11.83,0,45.4,28.8,42,16,30.078,29.858,32.2,46,45.4
12/16/2028,17.5,43,-1.3,30,10.6,15.3,265,0.18,14.79,0,23.2,10,54,32,30.093,29.86,25.3,36.8,23.2
2/24/2023,31.2,31,3.8,30,11.6,16.4,305,0.36,0.43,0,40.8,24.4,50,19,30.148,29.844,25.3,35,40.8
7/30/2031,58.1,55,39.9,30,2.3,4.3,282,0.97,4.91,0,70.6,43.2,90,28,30.061,29.841,11.5,17.3,77.3
5/25/2023,48.7,40,24.4,30,5.2,6.8,15,1.69,5.46,0,58.4,38.2,75,28,30.034,29.808,12.7,18,58.4
3/25/2023,31.7,47,9.5,30,6.7,9.5,307,0.69,1.26,0,46.3,10.7,86,15,30.298,29.702,24.2,35,46.3
9/25/2030,38.7,79,32.3,30,1.6,3,275,0.69,10.59,0,51.1,28.8,93,55,30.126,29.902,11.5,19.6,51.1
7/27/2022,56.9,72,47,30,4.5,5.1,13,1.88,7.46,0,73.3,44.5,93,42,30.119,29.838,20.7,21,78.4
7/28/2027,61.7,72,51.4,30,2.1,3.6,33,2.64,6.68,0,75.1,47.6,95,36,30.12,29.858,10.4,17.3,77.7
3/27/2028,49.1,38,23.8,30,7.9,11.7,237,0.33,1.36,0,62.1,37.9,59,22,30.052,29.867,23,32.2,62.1
3/29/2028,47.3,29,15.4,30,5.2,8.4,253,0.33,1.36,0,57.6,30.3,63,14,30.076,29.759,18.4,29.9,57.6
12/27/2029,34.5,23,-1.4,30,16.5,24.3,251,0.33,8.28,0,43.1,22.3,51,11,30.316,29.76,31.1,48.3,43.1
12/28/2029,29.4,53,13.6,30,8.4,12.1,208,0.33,8.28,0,34.1,25.8,83,35,30.327,29.836,26.5,38,34.1
9/7/2031,53,70,41.8,30,1.9,3.5,282,0.66,5.99,0,70.1,34.4,93,34,30.264,29.909,16.1,19.6,77.5
1/30/2030,40.3,30,11.3,30,14.1,20,217,0.91,0.91,0,45.8,35.3,37,23,30.169,29.777,28.8,46,45.8
10/14/2030,38.9,36,10.9,30,7.9,12.5,71,0.91,11.73,0,48.2,28.1,87,18,30.276,29.614,27.6,38,48.2
10/22/2030,47.4,30,16.8,30,17.3,24.4,333,0.91,11.73,0,58.9,37.6,41,15,30.164,29.859,34.5,50.6,58.9
5/25/2033,41.8,72,32.3,30,2.3,4,1,0.91,3.31,0,54.8,30.4,97,34,30.025,29.911,13.8,19.6,54.8
5/23/2022,48.9,83,43.9,30,2.4,3.6,50,1.07,3.51,0,53.5,43.3,93,69,30.052,29.711,8.1,12,53.5
4/17/2028,33.7,92,31.5,30,0.8,1.3,130,1.07,2.43,0,41.8,30.3,96,73,30.125,29.889,9.2,18.4,41.8
8/8/2030,52,83,46.5,30,1.5,2.6,270,1.07,8.96,0,65.6,43.5,96,51,30.101,29.897,13.8,20.7,65.6
11/18/2023,43,22,6.5,30,16.9,23.7,314,0.11,12.66,0,50.1,35.9,28,18,30.15,29.799,29.9,43.7,50.1
1/21/2024,29.6,37,5.5,30,14.5,21.9,321,0.11,0.11,0,35.6,24.4,63,21,30.147,29.765,28.8,43.7,35.6
9/7/2025,51.1,72,41.5,30,2.7,4.4,55,0.11,7.94,0,60.9,40.3,92,27,30.219,29.687,13.8,18.4,60.9
9/20/2026,47.9,71,37.6,30,1.7,2.9,51,0.11,6.44,0,65.6,31.9,94,30,30.177,29.893,11.5,13.8,79.2
12/21/2030,15.3,75,8.7,30,0.1,0.2,77,0.11,12.78,0,32.2,1.7,83,44,30.339,29.542,24.2,50.6,32.2
12/26/2030,32.7,40,9.8,30,0,0,73,0.11,12.78,0,39.2,26.6,81,23,30.171,29.897,0,0,39.2
12/27/2030,35.5,28,5.5,30,0,0,73,0.11,12.78,0,39.3,30.9,39,22,30.148,29.966,0,0,39.3
12/28/2030,40,20,2.3,30,0,0,73,0.11,12.78,0,44.3,36,28,16,30.08,29.803,0,0,44.3
10/16/2032,54.2,24,14.2,30,8.8,12.9,225,0.11,8.05,0,68.5,27.2,84,11,30.109,29.727,20.7,33.4,71
10/8/2024,34.1,76,26.1,30,1,1.9,286,0.22,10.68,0,38.6,30.1,91,32,30.226,29.762,11.5,12.7,38.6
4/9/2025,45.3,31,11.3,30,3.8,6.3,275,0.22,0.6,0,66.9,23.6,61,6,30.138,29.946,16.1,24.2,71
4/10/2025,47,43,20.1,30,2.8,4.7,87,0.22,0.6,0,70.8,24.2,80,9,30.148,29.811,26.5,34.5,72.8
3/25/2027,37.6,47,13.5,30,5.6,8.4,242,0.44,1.19,0,57.6,19.4,87,11,30.309,29.676,23,28.8,57.6
7/7/2030,59.2,64,45.5,30,1.8,3.1,271,0.44,5.97,0,83.4,44.9,88,17,30.208,29.826,18.4,24.2,80.7
4/21/2026,38.3,50,20.3,30,7.4,10.6,245,0.88,1.34,0,46.2,28.1,84,33,30.065,29.912,21.9,27.6,46.2
8/22/2030,58.2,66,45.8,30,2.2,3.8,276,1.51,9.4,0,73.9,40.9,94,38,30.094,29.862,12.7,19.6,77.4
12/20/2027,33.2,46,14.6,30,6,8.8,227,0.15,11.28,0,42.3,27,61,30,30.056,29.844,20.7,27.6,42.3
12/13/2029,28.8,30,0.7,30,10.7,15.9,83,0.15,8.1,0,33.7,21.6,41,22,30.083,29.914,25.3,34.5,33.7
6/10/2033,51.9,40,27.6,30,6.7,10.5,239,0.15,3.55,0,64.4,44.8,52,24,30.017,29.859,18.4,33.4,64.4
6/12/2033,61.5,39,31.7,30,2.9,5,75,0.15,3.55,0,80.7,36,80,12,30.137,29.826,13.8,20.7,79
4/10/2022,35.9,73,27.2,30,2,3.6,66,0.3,0.94,0,49.9,26.4,92,40,30.072,29.851,10.4,20,49.9
8/10/2022,60.5,57,43.2,30,4.3,5.3,26,0.3,8.24,0,72.6,45.5,91,20,30.047,29.869,11.5,17,78.9
8/11/2022,61.1,41,33.7,30,5.6,6.4,6,0.3,8.24,0,79,39.6,76,14,30.152,29.912,15,21,78
11/20/2024,33.2,58,18.7,30,7.5,10.5,273,0.3,11.65,0,44.2,18.2,86,37,30.06,29.908,20.7,28.8,44.2
11/19/2027,36,25,3.5,30,11.2,16.2,213,0.3,11.13,0,42.6,31,30,18,30.083,29.921,23,34.5,42.6
11/25/2027,29.4,51,13.2,30,14,21.2,253,0.3,11.13,0,38,21,76,32,30.238,29.843,42.6,49.5,38
11/26/2027,40.5,50,22.8,30,8.3,13.1,253,0.3,11.13,0,47.6,31.2,68,35,30.08,29.88,24.2,41.4,47.6
11/27/2027,46.5,26,13.4,30,15.6,23.4,241,0.3,11.13,0,52.8,40.5,39,19,30.13,29.798,28.8,47.2,52.8
10/6/2028,46.9,77,39.8,30,1.2,2.2,63,0.3,12.87,0,61.5,36.2,92,49,30.121,29.842,10.4,16.1,61.5
10/7/2028,48.3,71,37.6,30,1,2,155,0.3,12.87,0,67.4,32.5,95,28,30.176,29.902,10.4,13.8,67.4
8/20/2031,53.7,60,38,30,1.9,3.5,281,0.3,5.21,0,72.1,33.4,92,26,30.122,29.834,12.7,17.3,77.3
5/9/2026,38.6,85,34.2,30,2,3,345,0.6,2.42,0,47.3,33.1,93,62,30.242,29.753,21.9,28.8,47.3
10/5/2030,45.7,70,35.1,30,1.3,2.5,271,0.6,11.42,0,61.6,33.1,94,36,30.159,29.874,8.1,12.7,61.6
3/29/2030,38.3,63,24.5,30,1.4,2.4,274,0.85,1.84,0,54.8,28.1,91,20,30.127,29.829,12.7,17.3,54.8
10/21/2031,48.9,43,24.1,30,5,7.7,282,0.85,6.86,0,67.1,26.1,83,19,30.125,29.753,17.3,26.5,67.1
10/22/2031,45.3,55,27.6,30,1.5,2.7,282,0.85,6.86,0,66.1,29.4,87,21,30.154,29.882,8.1,12.7,66.1
10/23/2031,43.8,65,31.2,30,1.7,2.9,282,0.85,6.86,0,62.4,31.9,85,20,30.081,29.789,10.4,12.7,62.4
7/26/2022,60.1,73,50.3,30,5.1,5.8,1,1.7,7.28,0,74,49.6,95,39,30.081,29.885,12.7,17,78
5/20/2031,42.3,84,37.8,30,2.1,3.8,282,1.7,2.86,0,53.8,36.2,92,58,30.124,29.825,16.1,19.6,53.8
6/14/2023,48,71,37.7,30,4.5,5.4,5,1.95,7.43,0,61.3,38.3,94,36,30.131,29.861,15,22,61.3
6/23/2023,57.7,48,37.7,30,4.9,6.2,3,1.95,7.43,0,68.1,40.9,68,33,30.105,29.863,12.7,14,79.1
8/9/2026,53.5,71,43.3,30,2.4,4.2,343,0.41,5.35,0,68.3,41.1,91,33,30.136,29.858,13.8,20.7,79.2
8/10/2026,60,50,35.5,30,1,1.4,275,0.41,5.35,0,74.9,40.2,94,23,30.166,29.678,17.3,19.6,79
12/23/2023,32.9,71,24,30,3.1,7.4,341,0.57,13.26,0,46,19.2,92,44,30.191,29.85,170.2,255.3,46
10/28/2025,44.1,44,23.4,30,8.8,12.9,215,0.57,9.76,0,53.9,33.5,59,32,30.107,29.85,24.2,34.5,53.9
10/31/2025,50.4,32,19.8,30,6.2,9.3,246,0.57,9.76,0,64,31.3,68,16,30.084,29.848,18.4,27.6,64
8/30/2022,54.1,72,44.6,30,2.4,3.1,35,0.82,8.76,0,67.4,40.6,93,47,30.028,29.862,17.3,25,79
11/19/2030,40,17,-2.1,30,11.2,16.2,336,0.82,12.66,0,49.9,29.3,32,10,30.213,29.793,28.8,41.4,49.9
4/29/2032,26.2,85,22.3,30,2.1,3.7,282,0.82,1.9,0,35,21.3,91,77,30.112,29.685,10.4,12.7,35
5/29/2028,47.9,62,34.8,30,3.3,5.6,52,1.89,5.41,0,55.4,41.1,89,35,30.128,29.837,16.1,24.2,55.4
5/30/2028,51,66,39.2,30,2.4,4.5,102,1.89,5.41,0,63.2,34.9,91,38,30.2,29.897,16.1,19.6,63.2
10/17/2026,36.1,56,20.9,30,6.8,9.7,285,0.54,15.71,0,45.7,29.4,89,29,30.039,29.874,18.4,31.1,45.7
9/20/2027,65.1,46,42.6,30,3.9,6.6,84,0.54,9.37,0,75.1,53.9,67,25,30.057,29.898,16.1,19.6,77.3
